selectivity,plan,mean_recall,mean_latency_ms,p50_latency_ms,p95_latency_ms,mean_returned
0.01,Exact-filter-first,1.0,0.07162364998407611,0.05620349998025631,0.11846340000829515,10.0
0.01,HNSW-high,0.52,0.47678659998950934,0.42704800000592513,0.6739043500374464,5.25
0.01,HNSW-low,0.10500000000000001,0.1863888499940458,0.15130549996911213,0.24316649996194464,1.05
0.01,HNSW-medium,0.44000000000000006,0.28009585000745574,0.2407185000379286,0.5059721000179708,4.4
0.1,Exact-filter-first,1.0,0.28523729999392344,0.25375199993504793,0.4315870499510766,10.0
0.1,HNSW-high,1.0,0.49313779999806684,0.45313850006323264,0.7411269999806791,10.0
0.1,HNSW-low,0.8949999999999999,0.1752239500149244,0.14877649999789355,0.2894528000354058,9.1
0.1,HNSW-medium,0.9949999999999999,0.289938649996202,0.26616500002774046,0.3482377999773692,10.0
0.5,Exact-filter-first,1.0,0.9680346499806092,0.9321100000079241,1.2286642499418576,10.0
0.5,HNSW-high,1.0,0.5063056000039978,0.47935349999761456,0.71274019992984,10.0
0.5,HNSW-low,0.99,0.1748096000028454,0.16758399999616813,0.23050009997973578,10.0
0.5,HNSW-medium,1.0,0.3078457000128765,0.2926665000018147,0.4200092499672792,10.0
1.0,Exact-filter-first,1.0,1.6293837500086283,1.5780280000399216,1.8713578000188138,10.0
1.0,HNSW-high,1.0,0.6609610999760207,0.5723574999478842,0.8599294499674678,10.0
1.0,HNSW-low,0.9949999999999999,0.2578044000074442,0.2031965000242053,0.3625592499417967,10.0
1.0,HNSW-medium,1.0,0.39347019999809163,0.34654700004921324,0.5153048999943622,10.0
