selectivity,policy,executions,mean_recall,mean_latency_ms,p50_latency_ms,p95_latency_ms
0.01,Adaptive,180,1.0,0.11677000555483343,0.0852540000029899,0.2673436999405278
0.01,Fixed HNSW,180,0.39499999999999996,0.6946851500041854,0.2928805000124157,2.508518800073016
0.01,No feedback,180,1.0,0.11677171666536552,0.06716150003631628,0.1406788499455555
0.1,Adaptive,180,0.9972222222222222,0.648844172219815,0.24781049998079552,2.461697100008119
0.1,Fixed HNSW,180,0.9916666666666667,0.5592854777773937,0.29781749998392115,2.4983777499357984
0.1,No feedback,180,1.0,0.49031962778184374,0.22653349995465896,2.0050287499109696
0.5,Adaptive,180,0.975,0.3414405777765507,0.22991199998978018,1.1699039999856495
0.5,Fixed HNSW,180,0.995,0.372876738888787,0.341687999991791,0.5171648500038372
0.5,No feedback,180,0.975,0.24572852222260969,0.21206850002126054,0.31708059999137317
1.0,Adaptive,180,0.9944444444444445,0.7137092555563627,0.27256449998143606,2.5695697000473934
1.0,Fixed HNSW,180,0.9983333333333333,0.5369022611110571,0.3896110000027875,0.7675312999538163
1.0,No feedback,180,0.9933333333333334,0.32485630000244275,0.237079000018662,0.47838034993898915
