query_id,selectivity,plan,returned,recall,latency_ms
6,0.01,HNSW-low,2,0.2,0.16274300003260578
6,0.01,Exact-filter-first,10,1.0,0.05173499994270969
6,0.01,HNSW-medium,5,0.5,0.21375799997258582
6,0.01,HNSW-high,5,0.5,0.47475299993493536
6,0.1,HNSW-medium,10,1.0,0.26414900003146613
6,0.1,HNSW-high,10,1.0,0.4037620000190145
6,0.1,Exact-filter-first,10,1.0,0.25393699991127505
6,0.1,HNSW-low,10,1.0,0.14927699999134347
6,0.5,HNSW-high,10,1.0,0.4915600000003906
6,0.5,HNSW-medium,10,1.0,0.25423900001442234
6,0.5,Exact-filter-first,10,1.0,0.9407069999269879
6,0.5,HNSW-low,10,1.0,0.16852999999628082
6,1.0,HNSW-low,10,1.0,0.20293399995807704
6,1.0,Exact-filter-first,10,1.0,1.5601260000721595
6,1.0,HNSW-high,10,1.0,0.5903980000994125
6,1.0,HNSW-medium,10,1.0,0.3452109999670938
7,0.01,HNSW-low,0,0.0,0.14213299994025874
7,0.01,HNSW-high,5,0.5,0.42755999993460136
7,0.01,Exact-filter-first,10,1.0,0.05620199999611941
7,0.01,HNSW-medium,4,0.4,0.23634600006516848
7,0.1,HNSW-medium,10,1.0,0.29060999997909676
7,0.1,HNSW-low,7,0.7,0.129834000063056
7,0.1,Exact-filter-first,10,1.0,0.24155400001291127
7,0.1,HNSW-high,10,1.0,0.7400079999797526
7,0.5,HNSW-high,10,1.0,0.5426079999324429
7,0.5,HNSW-medium,10,1.0,0.2817920000097729
7,0.5,HNSW-low,10,1.0,0.14092900005380216
7,0.5,Exact-filter-first,10,1.0,0.9952839999414209
7,1.0,HNSW-low,10,1.0,0.2553010000383438
7,1.0,HNSW-high,10,1.0,0.5431089999774485
7,1.0,HNSW-medium,10,1.0,0.3284409999650961
7,1.0,Exact-filter-first,10,1.0,1.7158790000166846
8,0.01,Exact-filter-first,10,1.0,0.04824699999517179
8,0.01,HNSW-low,0,0.0,0.1524249998965388
8,0.01,HNSW-high,1,0.1,0.39585300010003266
8,0.01,HNSW-medium,1,0.1,0.2073780000273473
8,0.1,HNSW-high,10,1.0,0.44299499995759106
8,0.1,Exact-filter-first,10,1.0,0.25677400003587536
8,0.1,HNSW-medium,10,1.0,0.24640699996325566
8,0.1,HNSW-low,7,0.7,0.12896999999156833
8,0.5,HNSW-high,10,1.0,0.46190499995191203
8,0.5,HNSW-medium,10,1.0,0.26141099999676953
8,0.5,Exact-filter-first,10,1.0,0.8910560000003898
8,0.5,HNSW-low,10,1.0,0.18611500001952663
8,1.0,HNSW-high,10,1.0,0.5435119999219751
8,1.0,HNSW-medium,10,1.0,0.6839659999968717
8,1.0,HNSW-low,10,1.0,0.20345900009033357
8,1.0,Exact-filter-first,10,1.0,1.599465000026612
9,0.01,HNSW-low,1,0.1,0.1888809999854857
9,0.01,HNSW-high,1,0.1,0.3847439999162816
9,0.01,HNSW-medium,1,0.1,0.1931650000415175
9,0.01,Exact-filter-first,10,1.0,0.06757500000276195
9,0.1,HNSW-high,10,1.0,0.44867600001907704
9,0.1,HNSW-medium,10,1.0,0.3287839999757125
9,0.1,Exact-filter-first,10,1.0,0.2524099999163809
9,0.1,HNSW-low,9,0.9,0.16281099999559956
9,0.5,HNSW-high,10,1.0,0.47829100003582425
9,0.5,HNSW-low,10,0.9,0.14360900001975097
9,0.5,Exact-filter-first,10,1.0,0.9093349999602651
9,0.5,HNSW-medium,10,1.0,0.29293000000052416
9,1.0,HNSW-high,10,1.0,0.5444269999088647
9,1.0,Exact-filter-first,10,1.0,1.5019769999753407
9,1.0,HNSW-medium,10,1.0,0.3617700000404511
9,1.0,HNSW-low,10,0.9,0.160791999974208
10,0.01,HNSW-high,5,0.5,0.42796499997166393
10,0.01,HNSW-medium,5,0.5,0.23399899998821638
10,0.01,Exact-filter-first,10,1.0,0.055094000003919064
10,0.01,HNSW-low,0,0.0,0.1056459999517756
10,0.1,HNSW-medium,10,1.0,0.26079099995968136
10,0.1,HNSW-low,6,0.6,0.14375000000654836
10,0.1,Exact-filter-first,10,1.0,0.24987800009057537
10,0.1,HNSW-high,10,1.0,0.4241659999024705
10,0.5,HNSW-high,10,1.0,0.4797870000174953
10,0.5,Exact-filter-first,10,1.0,0.929592000034063
10,0.5,HNSW-medium,10,1.0,0.2976619999799368
10,0.5,HNSW-low,10,1.0,0.14526299992212444
10,1.0,HNSW-high,10,1.0,0.5603240000482401
10,1.0,HNSW-low,10,1.0,0.16671200000928366
10,1.0,HNSW-medium,10,1.0,0.2939240000614518
10,1.0,Exact-filter-first,10,1.0,1.5382740000404738
11,0.01,HNSW-high,9,0.9,0.451071999918895
11,0.01,HNSW-medium,9,0.9,0.22666699999263074
11,0.01,HNSW-low,2,0.2,0.12457600007564906
11,0.01,Exact-filter-first,10,1.0,0.056095999980243505
11,0.1,Exact-filter-first,10,1.0,0.22165299992593646
11,0.1,HNSW-high,10,1.0,0.46936399996866385
11,0.1,HNSW-medium,10,1.0,0.2739130000009027
11,0.1,HNSW-low,10,1.0,0.12963300002866163
11,0.5,HNSW-medium,10,1.0,0.31572499995036196
11,0.5,Exact-filter-first,10,1.0,0.8895900000425172
11,0.5,HNSW-low,10,1.0,0.16663799999605544
11,0.5,HNSW-high,10,1.0,0.4427140000871077
11,1.0,HNSW-medium,10,1.0,0.3454810000675934
11,1.0,HNSW-low,10,1.0,0.15196800006833655
11,1.0,HNSW-high,10,1.0,0.4728520000298886
11,1.0,Exact-filter-first,10,1.0,1.5322900000001027
12,0.01,HNSW-high,5,0.5,0.45713399993019266
12,0.01,Exact-filter-first,10,1.0,0.05263399998511886
12,0.01,HNSW-medium,4,0.4,0.2203220000183137
12,0.01,HNSW-low,1,0.1,0.12070200000380282
12,0.1,HNSW-high,10,1.0,0.44063799998639297
12,0.1,Exact-filter-first,10,1.0,0.24791099997401034
12,0.1,HNSW-low,10,1.0,0.15151499997045903
12,0.1,HNSW-medium,10,1.0,0.2506909999056006
12,0.5,HNSW-medium,10,1.0,0.2833780000628394
12,0.5,Exact-filter-first,10,1.0,0.9265850000019782
12,0.5,HNSW-high,10,1.0,0.7116219999261375
12,0.5,HNSW-low,10,1.0,0.16199799995320063
12,1.0,Exact-filter-first,10,1.0,1.5410680000513821
12,1.0,HNSW-high,10,1.0,0.6161919999385645
12,1.0,HNSW-medium,10,1.0,0.3401120000035007
12,1.0,HNSW-low,10,1.0,0.15001799999936338
13,0.01,Exact-filter-first,10,1.0,0.05620499996439321
13,0.01,HNSW-high,7,0.7,0.4265360000772489
13,0.01,HNSW-medium,7,0.7,0.21524099997805024
13,0.01,HNSW-low,3,0.3,0.11309399997116998
13,0.1,HNSW-high,10,1.0,0.4238770000029035
13,0.1,Exact-filter-first,10,1.0,0.2378620000627052
13,0.1,HNSW-medium,10,1.0,0.24914499999795225
13,0.1,HNSW-low,10,0.9,0.1207999999905951
13,0.5,HNSW-medium,10,1.0,0.3037280000626197
13,0.5,Exact-filter-first,10,1.0,0.9141909999925701
13,0.5,HNSW-high,10,1.0,0.456752999980381
13,0.5,HNSW-low,10,1.0,0.13865100004295527
13,1.0,HNSW-low,10,1.0,0.1914480000095864
13,1.0,HNSW-high,10,1.0,0.479544999961945
13,1.0,HNSW-medium,10,1.0,0.305322000031083
